ID   trial   item_condition   run   bin   congr   CS   CS_pupil   CS_DW_L   CS_DW_R   CS_DW_congr   CS_DW_cue   ANT_DW_L   ANT_DW_R   ANT_DW_congr   ANT_DW_cue   US_RT   US_ACC   CS_liking
sub-01   145   48   03   bin06    congr   CSpL  -6.181092e-02   6.703911e-02   0   6.703911e-02   6.033520e-01   4.375000e-01   0   4.375000e-01   3.828125e-01   1.276306e-01   1   NaN
sub-01   146   49   03   bin06    congr   CSpL  8.551782e-01   0   0   0   5.750000e-01   6.583333e-01   0   6.583333e-01   1.250000e-01   -2.406182e-01   1   NaN
sub-01   147   50   03   bin06    congr   CSpL  5.998943e-02   0   0   0   2.765957e-01   1.639344e-02   0   1.639344e-02   0   -1.686565e-01   1   NaN
sub-01   148   48   03   bin06    congr   CSmi  -2.178137e-01   0   0   0   3.928571e-01   0   2.162162e-01   1.081081e-01   3.513514e-01   NaN   1   NaN
sub-01   149   51   03   bin06    incongr   CSpR  -5.762275e-01   0   0   0   1.612903e-01   0   0   0   7.954545e-01   -5.987169e-02   1   NaN
sub-01   150   51   03   bin06    congr   CSpL  -4.829685e-01   0   0   0   7.299270e-03   5.075758e-01   0   5.075758e-01   1.060606e-01   4.671925e-02   1   NaN
sub-01   151   52   03   bin06    congr   CSpR  3.523742e-01   0   0   0   1.123596e-01   0   5.371901e-01   5.371901e-01   2.231405e-01   -1.207589e-01   1   NaN
sub-01   152   52   03   bin06    congr   CSpL  -5.035194e-01   0   0   0   8.435374e-01   4.444444e-01   0   4.444444e-01   1.984127e-01   7.511236e-02   1   NaN
sub-01   153   53   03   bin06    congr   CSpR  4.123794e-01   0   0   0   2.926829e-01   0   0   0   4.615385e-01   -2.593426e-02   1   NaN
sub-01   154   54   03   bin06    congr   CSpR  3.095666e-02   0   0   0   1.162791e-02   0   8.474576e-03   8.474576e-03   0   -7.083640e-02   1   NaN
sub-01   155   49   03   bin06    congr   CSmi  1.911006e-01   0   0   0   5.649718e-01   0   0   0   0   NaN   1   NaN
sub-01   156   50   03   bin06    congr   CSmi  3.896689e-01   0   0   0   0   0   0   0   8.130081e-02   NaN   1   NaN
sub-01   157   51   03   bin06    congr   CSmi  -2.339670e-01   0   0   0   2.640000e-01   0   0   0   0   NaN   1   NaN
sub-01   158   52   03   bin06    congr   CSmi  1.216216e-02   0   0   0   3.523810e-01   0   0   0   1.344538e-01   NaN   1   NaN
sub-01   159   53   03   bin06    congr   CSmi  1.450339e-01   0   0   0   2.985075e-02   0   0   0   0   NaN   1   NaN
sub-01   160   53   03   bin06    congr   CSpL  -1.032608e-01   0   0   0   0   0   0   0   0   4.681693e-01   1   NaN
sub-01   161   54   03   bin06    congr   CSpL  -4.902438e-01   0   0   0   0   0   0   0   0   NaN   1   NaN
sub-01   162   54   03   bin06    congr   CSmi  1.632426e-01   0   0   0   0   0   0   0   0   NaN   1   NaN
sub-02   1   1   01   bin01    congr   CSpL  -5.684904e-02   0   0   0   0   2.230769e-01   2.461538e-01   2.230769e-01   4.076923e-01   6.700134e-02   1   NaN
sub-02   2   1   01   bin01    congr   CSpR  -1.680542e-01   0   0   0   0   1.574803e-02   9.448819e-02   9.448819e-02   1.259843e-01   -2.790228e-01   1   NaN
sub-02   3   2   01   bin01    incongr   CSpR  -4.831424e-02   0   0   0   0   0   0   0   9.666667e-01   -4.769728e-01   1   NaN
sub-02   4   2   01   bin01    congr   CSpL  -5.343937e-02   0   0   0   0   8.905109e-01   0   8.905109e-01   1.021898e-01   -3.250273e-01   1   NaN
sub-02   5   3   01   bin01    congr   CSpL  -2.491330e-02   0   0   0   0   3.059701e-01   0   3.059701e-01   1.641791e-01   1.639279e-01   1   NaN
sub-02   6   3   01   bin01    incongr   CSpR  1.122649e-01   0   0   0   0   0   0   0   1.323529e-01   2.836314e-01   1   NaN
sub-02   7   1   01   bin01    congr   CSmi  7.590114e-02   0   0   0   9.414414e-01   1.393443e-01   2.786885e-01   2.090164e-01   3.770492e-01   NaN   1   NaN
sub-02   8   2   01   bin01    congr   CSmi  -2.187150e-01   0   0   0   0   0   0   0   3.111111e-01   NaN   1   NaN
sub-02   9   4   01   bin01    congr   CSpL  -1.082786e-01   0   0   0   0   9.191176e-01   0   9.191176e-01   7.352941e-02   -6.505556e-02   1   NaN
sub-02   10   5   01   bin01    congr   CSpL  -2.050678e-01   0   0   0   0   8.978102e-01   0   8.978102e-01   1.021898e-01   1.865363e-01   1   NaN
sub-02   11   3   01   bin01    incongr   CSmi  -1.018500e-01   0   0   0   0   0   8.270677e-02   4.135338e-02   1.654135e-01   3.957405e-01   1   NaN
sub-02   12   6   01   bin01    congr   CSpL  -3.377911e-02   0   0   0   0   8.181818e-01   0   8.181818e-01   1.287879e-01   9.478938e-02   1   NaN
sub-02   13   4   01   bin01    congr   CSmi  -9.919661e-02   0   0   0   0   0   0   0   1.231884e-01   NaN   1   NaN
sub-02   14   4   01   bin01    congr   CSpR  -6.634869e-02   0   0   0   0   0   8.467153e-01   8.467153e-01   1.459854e-01   NaN   1   NaN
sub-02   15   5   01   bin01    congr   CSpR  -1.814660e-02   0   0   0   0   0   8.676471e-01   8.676471e-01   1.029412e-01   1.549832e-01   1   NaN
sub-02   16   5   01   bin01    congr   CSmi  -2.830668e-02   0   0   0   0   1.221374e-01   1.068702e-01   1.145038e-01   9.923664e-02   NaN   1   NaN
sub-02   17   6   01   bin01    incongr   CSmi  4.254940e-02   0   0   0   8.362069e-01   0   0   0   0   2.405830e-01   1   NaN
sub-02   18   7   01   bin01    congr   CSmi  -7.038122e-02   0   0   0   0   0   0   0   1.159420e-01   NaN   1   NaN
